Final Material,Author,Title,Year,Cited References (#),Times Cited (#),Formation Method,Anna's Notes,Zr Precursor,Zr Precursor Concentration (M),Dopant,Dopant Concentration (M),Solvent 1,Solvent 1 Concentration (M),Solvent 2,Additional Solvents,Additional Precursors (non Zr),Modifier,Modifier Concentration (M),Surfactant,Surfactant Concentration (M),Gelation Agent,Gelation Agent (M),pH final sol,Gelation Temp (°C),Gelation Pressure (MPa),Gelation Time (mins),Aging Temp (°C),Aging Time (hrs),Wash Solvent 1,Wash Times 1 (#),Wash Duration 1 (days),Wash Temp 1 (°C),Wash Solvent 2,Wash Times 2 (#),Wash Duration 2 (days),Wash Temp 2 (°C),Wash Solvent 3,Wash Times 3 (#),Wash Duration 3 (days),Wash Temp 3 (°C),Wash Solvent 4,Wash Times 4 (#),Wash Duration 4 (days),Wash Temp 4 (°C),Gelation/Washing Notes,Drying Method,Drying Solvent,Drying Temp (°C),Drying Heating Rate (°C/min),Drying Pressure (MPa),Drying Time (hrs),Drying Atmosphere,Drying Temp 2 (°C),Drying Heating Rate 2 (°C/min),Drying Pressure 2 (MPa),Drying Time 2 (hrs),Drying Atmosphere 2,Drying Notes,Sintering Temp (°C),Sintering Time (min),Ramp Rate (°C/min),Sintering Atmosphere,Sintering Notes,SEM?,SEM Instrument,Why SEM?,SEM Column,Acceleration Voltage (kV),Emission Current (mA),TEM?,TEM Instrument,Why TEM?,AFM?,AFM Instrument,Why AFM?,AFM Sample PREP,N2 Adsorption-Desorption Isotherms?,N2 A-D Instrument,Why N2 A-D?,Analysis (°C),Analysis Pressure (psi),Degas (°C),Degas Time (min),Degas Gas,BET/BJH?,Why BET/BJH?,XPS?,XPS Instrument,XPS info,Why XPS?,XRD?,XRD Instrument,Radiation,Why XRD?,XRD 2θ Range (°),XRD Increment (°/step),XRD Rate (°/min),XRD Wavelength (Å),kV,mA,FT-IR?,FT-IR Instrument,Why FTIR?,Range (cm-1),Resolution                 (cm-1),Scans (#),TGA?,TGA Instrument,Why TGA?,TGA Temperature (°C),TGA Atmosphere,TGA Ramp Rate (°C/min),Density?,Density Instrument,Medium,Hardness?,Hardness Instrument,Load (N),Dwell Time (s),Electrical Conductivty?,Electrical Conductivity Instrument,Why Electrical Conductivity?,Small Angle Neutron Scattering (SANS)?,SANS Instrument,Why SANS?,SANS Wavelength (nm),SANS sample-to-detector distance (m),SANS Detector,Small-Angle X-ray Scattering (SAXS)?,SAXS Instrument,Why SAXS?,SAXS Voltage (kV),SAXS Power (W),Thermal Conductivity,Thermal Conductivity Instrument,TC Sinter Temp (°C),TC Sinter Time (hr),ICP?,ICP Instrument,Why ICP?,DLS,DLS Instrument,Why DLS?,Raman,Raman Instrument,Why Raman?,Laser,Spectral Resolution (cm-1),Spectra Recorded Between (cm-1),Porosity,Porosity (%),Pore Volume (cm3/g),Pore Size (nm),Nanoparticle Size (nm),Surface Area (m2/g),Density (g/cm3),Thermal Conductivity (W/mK),Crystalline Phase,Notes,Index
"Zirconia-based aerogel @ 0.35M water glass, as-dried ",Gao et al.,Synthesis of high-temperature resistant monolithic zirconia-based aerogel via facile water glass assisted sol–gel method,2018,33,9,sol-gel,,zirconyl chloride octahydrate,0.35,yttrium(III) nitrate hexahydrate,0.07,ethanol,,water,"acetic acid, formamide",,,,polyethylene glycol 600,0.07,"water glass, ammonia",0.35,,,,180 - 300,,,ethanol,1,7,,ethanol,3,,,,,,,,,,,6 water glass conc. used,supercritical drying,ethanol,260,2,7.2,0.5 - 1,nitrogen,,,,,,,,,,,as-dried,Yes,"S4800, Hitachi, Japan",Morphology,,,,Yes,"FEI Tecnai G2 F20 S-TWIN, USA",Morphology,No,,,,Yes,"OMNISORP100CX, Beckman Coulter, USA",Surface area and pore structure,,,,,,"Yes, BET/BJH",Surface area and pore structures,No,,,,Yes,"Empyrean 200895, PANalytical B.V., Holland",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,"FT-IR, TEN- SOR27, Germany",Surface functional groups,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,Yes,"XIATECH, TC3000, China; transient hot wire technique",,,No,,,No ,,,No,,,,,,mesoporous,,,,,,0.118,,,"Na2SiO3 gives SiO2 shell around ZrO2 NPs,",0
"Zirconia-based aerogel @ 0.29M water glass, as-dried",Gao et al.,Synthesis of high-temperature resistant monolithic zirconia-based aerogel via facile water glass assisted sol–gel method,2018,33,9,sol-gel,,zirconyl chloride octahydrate,0.35,yttrium(III) nitrate hexahydrate,0.07,ethanol,,water,"acetic acid, formamide",,,,polyethylene glycol 600,0.07,"water glass, ammonia",0.29,,,,180 - 300,,,ethanol,1,7,,ethanol,3,,,,,,,,,,,6 water glass conc. used,supercritical drying,ethanol,260,2,7.2,0.5 - 1,nitrogen,,,,,,,,,,,as-dried,Yes,"S4800, Hitachi, Japan",Morphology,,,,Yes,"FEI Tecnai G2 F20 S-TWIN, USA",Morphology,No,,,,Yes,"OMNISORP100CX, Beckman Coulter, USA",Surface area and pore structure,,,,,,"Yes, BET/BJH",Surface area and pore structures,No,,,,Yes,"Empyrean 200895, PANalytical B.V., Holland",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,"FT-IR, TEN- SOR27, Germany",Surface functional groups,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,Yes,"XIATECH, TC3000, China; transient hot wire technique",,,No,,,No ,,,No,,,,,,mesoporous,,,,,,0.076,,,"Na2SiO3 gives SiO2 shell around ZrO2 NPs,",1
"Zirconia-based aerogel @ 0.23M water glass, as-dried",Gao et al.,Synthesis of high-temperature resistant monolithic zirconia-based aerogel via facile water glass assisted sol–gel method,2018,33,9,sol-gel,,zirconyl chloride octahydrate,0.35,yttrium(III) nitrate hexahydrate,0.07,ethanol,,water,"acetic acid, formamide",,,,polyethylene glycol 600,0.07,"water glass, ammonia",0.23,,,,180 - 300,,,ethanol,1,7,,ethanol,3,,,,,,,,,,,6 water glass conc. used,supercritical drying,ethanol,260,2,7.2,0.5 - 1,nitrogen,,,,,,,,,,,as-dried,Yes,"S4800, Hitachi, Japan",Morphology,,,,Yes,"FEI Tecnai G2 F20 S-TWIN, USA",Morphology,No,,,,Yes,"OMNISORP100CX, Beckman Coulter, USA",Surface area and pore structure,,,,,,"Yes, BET/BJH",Surface area and pore structures,No,,,,Yes,"Empyrean 200895, PANalytical B.V., Holland",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,"FT-IR, TEN- SOR27, Germany",Surface functional groups,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,Yes,"XIATECH, TC3000, China; transient hot wire technique",,,No,,,No ,,,No,,,,,,mesoporous,,,,,,0.074,,,"Na2SiO3 gives SiO2 shell around ZrO2 NPs,",2
"Zirconia-based aerogel @ 0.18M water glass, as-dried",Gao et al.,Synthesis of high-temperature resistant monolithic zirconia-based aerogel via facile water glass assisted sol–gel method,2018,33,9,sol-gel,,zirconyl chloride octahydrate,0.35,yttrium(III) nitrate hexahydrate,0.07,ethanol,,water,"acetic acid, formamide",,,,polyethylene glycol 600,0.07,"water glass, ammonia",0.18,,,,180 - 300,,,ethanol,1,7,,ethanol,3,,,,,,,,,,,6 water glass conc. used,supercritical drying,ethanol,260,2,7.2,0.5 - 1,nitrogen,,,,,,,,,,,as-dried,Yes,"S4800, Hitachi, Japan",Morphology,,,,Yes,"FEI Tecnai G2 F20 S-TWIN, USA",Morphology,No,,,,Yes,"OMNISORP100CX, Beckman Coulter, USA",Surface area and pore structure,,,,,,"Yes, BET/BJH",Surface area and pore structures,No,,,,Yes,"Empyrean 200895, PANalytical B.V., Holland",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,"FT-IR, TEN- SOR27, Germany",Surface functional groups,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,Yes,"XIATECH, TC3000, China; transient hot wire technique",,,No,,,No ,,,No,,,,,,mesoporous,,,,,,0.102,,,"Na2SiO3 gives SiO2 shell around ZrO2 NPs,",3
"Zirconia-based aerogel @ 0.12M water glass, as-dried",Gao et al.,Synthesis of high-temperature resistant monolithic zirconia-based aerogel via facile water glass assisted sol–gel method,2018,33,9,sol-gel,,zirconyl chloride octahydrate,0.35,yttrium(III) nitrate hexahydrate,0.07,ethanol,,water,"acetic acid, formamide",,,,polyethylene glycol 600,0.07,"water glass, ammonia",0.12,,,,180 - 300,,,ethanol,1,7,,ethanol,3,,,,,,,,,,,6 water glass conc. used,supercritical drying,ethanol,260,2,7.2,0.5 - 1,nitrogen,,,,,,,,,,,as-dried,Yes,"S4800, Hitachi, Japan",Morphology,,,,Yes,"FEI Tecnai G2 F20 S-TWIN, USA",Morphology,No,,,,Yes,"OMNISORP100CX, Beckman Coulter, USA",Surface area and pore structure,,,,,,"Yes, BET/BJH",Surface area and pore structures,No,,,,Yes,"Empyrean 200895, PANalytical B.V., Holland",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,"FT-IR, TEN- SOR27, Germany",Surface functional groups,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,Yes,"XIATECH, TC3000, China; transient hot wire technique",,,No,,,No ,,,No,,,,,,mesoporous,,1.6,,,650,0.097,0.026,tetragonal,"Na2SiO3 gives SiO2 shell around ZrO2 NPs,",4
"Zirconia-based aerogel@ 0.06M water glass, as-dried",Gao et al.,Synthesis of high-temperature resistant monolithic zirconia-based aerogel via facile water glass assisted sol–gel method,2018,33,9,sol-gel,,zirconyl chloride octahydrate,0.35,yttrium(III) nitrate hexahydrate,0.07,ethanol,,water,"acetic acid, formamide",,,,polyethylene glycol 600,0.07,"water glass, ammonia",0.06,,,,180 - 300,,,ethanol,1,7,,ethanol,3,,,,,,,,,,,6 water glass conc. used,supercritical drying,ethanol,260,2,7.2,0.5 - 1,nitrogen,,,,,,,,,,,as-dried,Yes,"S4800, Hitachi, Japan",Morphology,,,,Yes,"FEI Tecnai G2 F20 S-TWIN, USA",Morphology,No,,,,Yes,"OMNISORP100CX, Beckman Coulter, USA",Surface area and pore structure,,,,,,"Yes, BET/BJH",Surface area and pore structures,No,,,,Yes,"Empyrean 200895, PANalytical B.V., Holland",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,"FT-IR, TEN- SOR27, Germany",Surface functional groups,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,Yes,"XIATECH, TC3000, China; transient hot wire technique",,,No,,,No ,,,No,,,,,,mesoporous,,,,,,0.136,,,"Na2SiO3 gives SiO2 shell around ZrO2 NPs,",5
"Zirconia-based aerogel @ 0.35M water glass, @ 1000C",Gao et al.,Synthesis of high-temperature resistant monolithic zirconia-based aerogel via facile water glass assisted sol–gel method,2018,33,9,sol-gel,,zirconyl chloride octahydrate,0.35,yttrium(III) nitrate hexahydrate,0.07,ethanol,,water,"acetic acid, formamide",,,,polyethylene glycol 600,0.07,"water glass, ammonia",0.35,,,,180 - 300,,,ethanol,1,7,,ethanol,3,,,,,,,,,,,6 water glass conc. used,supercritical drying,ethanol,260,2,7.2,0.5 - 1,nitrogen,,,,,,,1000,,,,calcined at 1000,Yes,"S4800, Hitachi, Japan",Morphology,,,,Yes,"FEI Tecnai G2 F20 S-TWIN, USA",Morphology,No,,,,Yes,"OMNISORP100CX, Beckman Coulter, USA",Surface area and pore structure,,,,,,"Yes, BET/BJH",Surface area and pore structures,No,,,,Yes,"Empyrean 200895, PANalytical B.V., Holland",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,"FT-IR, TEN- SOR27, Germany",Surface functional groups,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,Yes,"XIATECH, TC3000, China; transient hot wire technique",,,No,,,No ,,,No,,,,,,,,,,,,,,,"Na2SiO3 gives SiO2 shell around ZrO2 NPs,",6
"Zirconia-based aerogel @ 0.29M water glass, @ 1000C",Gao et al.,Synthesis of high-temperature resistant monolithic zirconia-based aerogel via facile water glass assisted sol–gel method,2018,33,9,sol-gel,,zirconyl chloride octahydrate,0.35,yttrium(III) nitrate hexahydrate,0.07,ethanol,,water,"acetic acid, formamide",,,,polyethylene glycol 600,0.07,"water glass, ammonia",0.29,,,,180 - 300,,,ethanol,1,7,,ethanol,3,,,,,,,,,,,6 water glass conc. used,supercritical drying,ethanol,260,2,7.2,0.5 - 1,nitrogen,,,,,,,1000,,,,calcined at 1001,Yes,"S4800, Hitachi, Japan",Morphology,,,,Yes,"FEI Tecnai G2 F20 S-TWIN, USA",Morphology,No,,,,Yes,"OMNISORP100CX, Beckman Coulter, USA",Surface area and pore structure,,,,,,"Yes, BET/BJH",Surface area and pore structures,No,,,,Yes,"Empyrean 200895, PANalytical B.V., Holland",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,"FT-IR, TEN- SOR27, Germany",Surface functional groups,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,Yes,"XIATECH, TC3000, China; transient hot wire technique",,,No,,,No ,,,No,,,,,,,,,,,,,,,"Na2SiO3 gives SiO2 shell around ZrO2 NPs,",7
"Zirconia-based aerogel @ 0.23M water glass, @ 1000C",Gao et al.,Synthesis of high-temperature resistant monolithic zirconia-based aerogel via facile water glass assisted sol–gel method,2018,33,9,sol-gel,,zirconyl chloride octahydrate,0.35,yttrium(III) nitrate hexahydrate,0.07,ethanol,,water,"acetic acid, formamide",,,,polyethylene glycol 600,0.07,"water glass, ammonia",0.23,,,,180 - 300,,,ethanol,1,7,,ethanol,3,,,,,,,,,,,6 water glass conc. used,supercritical drying,ethanol,260,2,7.2,0.5 - 1,nitrogen,,,,,,,1000,,,,calcined at 1002,Yes,"S4800, Hitachi, Japan",Morphology,,,,Yes,"FEI Tecnai G2 F20 S-TWIN, USA",Morphology,No,,,,Yes,"OMNISORP100CX, Beckman Coulter, USA",Surface area and pore structure,,,,,,"Yes, BET/BJH",Surface area and pore structures,No,,,,Yes,"Empyrean 200895, PANalytical B.V., Holland",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,"FT-IR, TEN- SOR27, Germany",Surface functional groups,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,Yes,"XIATECH, TC3000, China; transient hot wire technique",,,No,,,No ,,,No,,,,,,,,,,,,,,,"Na2SiO3 gives SiO2 shell around ZrO2 NPs,",8
"Zirconia-based aerogel @ 0.18M water glass, @ 1000C",Gao et al.,Synthesis of high-temperature resistant monolithic zirconia-based aerogel via facile water glass assisted sol–gel method,2018,33,9,sol-gel,,zirconyl chloride octahydrate,0.35,yttrium(III) nitrate hexahydrate,0.07,ethanol,,water,"acetic acid, formamide",,,,polyethylene glycol 600,0.07,"water glass, ammonia",0.18,,,,180 - 300,,,ethanol,1,7,,ethanol,3,,,,,,,,,,,6 water glass conc. used,supercritical drying,ethanol,260,2,7.2,0.5 - 1,nitrogen,,,,,,,1000,,,,calcined at 1003,Yes,"S4800, Hitachi, Japan",Morphology,,,,Yes,"FEI Tecnai G2 F20 S-TWIN, USA",Morphology,No,,,,Yes,"OMNISORP100CX, Beckman Coulter, USA",Surface area and pore structure,,,,,,"Yes, BET/BJH",Surface area and pore structures,No,,,,Yes,"Empyrean 200895, PANalytical B.V., Holland",Cu Kα,Crystal phase,Oct-90,,4,1.5418,,,Yes,"FT-IR, TEN- SOR27, Germany",Surface functional groups,,,,No,,,,,,No,,,No,,,,No,,,No,,,,,,No,,,,,Yes,"XIATECH, TC3000, China; transient hot wire technique",,,No,,,No ,,,No,,,,,,,,,,,,,,,"Na2SiO3 gives SiO2 shell around ZrO2 NPs,",9
